siren,entreprise,ville,departement,site_web,is_down,down_reason,response_time_ms,is_slow,has_blog,blog_url,agence_detectee,agence_nom,annee_copyright,site_ancien,reseaux_sociaux,signal,priorite_score
410757991,ATELIERS MECANIQUES DES PERTUIS,LA ROCHELLE,17,,False,,,False,False,,False,,,False,,pas_de_site,1.0
843089319,BORDEAUX OPERATIONS PORTUAIRES - BOP,BORDEAUX,33,,False,,,False,False,,False,,,False,,pas_de_site,1.0
342012390,CONSTRUCTION NAVALE BORDEAUX,BORDEAUX,33,,False,,,False,False,,False,,,False,,pas_de_site,1.0
404530925,COURMAR,LA ROCHELLE,17,,False,,,False,False,,False,,,False,,pas_de_site,1.0
304516420,DRAGAGE TRANSPORTS ET TRAVAUX MARITIMES,LA ROCHELLE,17,,False,,,False,False,,False,,,False,,pas_de_site,1.0
781804141,GRAND PORT MARITIME DE BORDEAUX,BORDEAUX,33,,False,,,False,False,,False,,,False,,pas_de_site,1.0
410828198,MAIRE MARINE COMPETENCES,LEGE-CAP-FERRET,33,,False,,,False,False,,False,,,False,,pas_de_site,1.0
385097472,REGIE DU PORT D'ARCACHON,ARCACHON,33,,False,,,False,False,,False,,,False,,pas_de_site,1.0
310288162,SOCIETE D'ARMEMENT ET DE TRANSPORT,BORDEAUX,33,,False,,,False,False,,False,,,False,,pas_de_site,1.0
671780179,STE FERNAND HERVE SARL,PERIGNY,17,,False,,,False,False,,False,,,False,,pas_de_site,1.0
390549822,MSC - MEDITERRANEAN SHIPPING COMPANY FRANCE,MERIGNAC,33,https://www.msc.com/,True,HTTP 403,208.0,False,False,,False,,,False,,down,2.0
461200834,"SOCIETE DE LAMANAGE DU PORT DE BORDEAUX ""ENTREPRISE MARITIME""",LORMONT,33,http://www.convention-entreprise.fr/,True,Connexion impossible (DNS/refusée),,False,False,,False,,,False,,down,2.0
790924682,NAVITEAM,BORDEAUX,33,https://naviteam.eu/,False,,3477.0,True,True,https://naviteam.eu/en/news/,False,,2026.0,False,Facebook|https://pl-pl.facebook.com/SCSnawigacje/,lent,3.0
410433304,ALTERNATIVES ENERGIES,LA ROCHELLE,17,https://www.alternativesenergies.com/,False,,822.0,False,True,https://www.alternativesenergies.com/actualites-alternatives-energies/,False,,2020.0,True,"LinkedIn|https://www.linkedin.com/company/alternatives-energies-la-rochelle/, Twitter|https://twitter.com/Alternatives_EN",site_ancien,4.0
681780318,LAMANAGE ET SERVICES MARITIMES DES PORTS DE LA ROCHELLE - CHARENTE,LA ROCHELLE,17,https://lamanage-syndicatpro.fr/,False,,1243.0,False,True,https://lamanage-syndicatpro.fr/,False,,2024.0,True,,site_ancien,4.0
441133808,NAVAL GROUP,RUELLE-SUR-TOUVRE,16,https://www.naval-group.com/,False,,889.0,False,True,/fr/actualites-0,False,,2020.0,True,"LinkedIn|https://fr.linkedin.com/company/naval-group, Twitter|https://twitter.com/navalgroup, Instagram|https://www.instagram.com/navalgroup/?hl=fr, YouTube|https://www.youtube.com/user/DCNSgroup, Facebook|https://www.facebook.com/navalgroup/",site_ancien,4.0
379722275,RC MARINE LA ROCHELLE,LA ROCHELLE,17,https://www.rc-marine.fr/,False,,513.0,False,True,/fr/actualites,False,,2022.0,True,"Facebook|https://www.facebook.com/rcmarinebeneteau/, Instagram|https://www.instagram.com/rcmarine_/, YouTube|https://www.youtube.com/channel/UCjf-PQNWIedWRaMDgYDFMMg, LinkedIn|https://www.linkedin.com/company/20491310/",site_ancien,4.0
300685609,ROTOMOD,BON-ENCONTRE,47,https://www.rotomod-design.com/,False,,270.0,False,False,,False,,2020.0,True,,site_ancien,4.0
319116661,SEA INVEST SHIPPING AGENCY,BASSENS,33,https://sea-invest.com/,False,,345.0,False,True,https://sea-invest.com/,False,,2019.0,True,,site_ancien,4.0
781333364,SYNDICAT PROFESSIONNEL DES PILOTES MARITIMES,LA ROCHELLE,17,https://lamanage-syndicatpro.fr/,False,,1330.0,False,True,https://lamanage-syndicatpro.fr/,False,,2024.0,True,,site_ancien,4.0
344528484,CHANTIER NAUTIQUE DU VIEUX PORT,LA ROCHELLE,17,https://chantiernautiqueduvieuxport.com/,False,,430.0,False,False,,False,,,False,"Facebook|https://www.facebook.com/profile.php?id=61551806282946, Instagram|https://www.instagram.com/chantiernautiqueduvieuxport/?hl=fr, LinkedIn|https://www.linkedin.com/company/cnvp/",sans_blog,5.0
421481169,CROISIERES INTER-ILES,LA ROCHELLE,17,https://www.inter-iles.com/,False,,357.0,False,False,,False,,,False,"Instagram|https://www.instagram.com/compagnie.interiles/, Facebook|https://www.facebook.com/compagnieinteriles, LinkedIn|https://www.linkedin.com/company/compagnie-interiles, TikTok|https://www.tiktok.com/@compagnie.interiles",sans_blog,5.0
950596429,DUFOUR YACHTS,PERIGNY,17,http://dufour-yachts.fr/,False,,182.0,False,False,,False,,,False,,sans_blog,5.0
775582927,PILOTAGE DE LA GIRONDE,BASSENS,33,https://pilotagegironde.com/,False,,733.0,False,False,,False,,,False,,sans_blog,5.0
430366450,NAUTIC ELEC - GULF STREAM,LA ROCHELLE,17,https://www.nautic-elec.com/,False,,331.0,False,False,,True,Vitamine,2026.0,False,,sans_blog,5.5
340889476,OCEA,LA ROCHELLE,17,https://www.ocea.fr/,False,,304.0,False,False,,True,Images Cr,,False,,sans_blog,5.5
523371391,AP YACHT CONCEPTION,MARANS,17,https://ap-yachting.fr/,False,,487.0,False,True,https://ap-yachting.fr/,False,,2026.0,False,"Instagram|https://www.instagram.com/apyachting/, Facebook|https://www.facebook.com/AP-Yachting-104325522155126",ok,6.0
389002593,ATLANTIQUE SELLERIE CHRISTIAN COSTES,CHATELAILLON-PLAGE,17,http://atlantiquesellerie.com/,False,,1117.0,False,True,http://atlantiquesellerie.com/,False,,,False,,ok,6.0
335184461,B2 MARINE,LATRESNE,33,https://www.b2marine.fr/,False,,343.0,False,True,/fr/presse,False,,2025.0,False,"Facebook|https://www.facebook.com/B2-Marine-283401292287216/?eid=ARC_GiZjPb-TydmxtBoTP2cXQ3P_XUB3-mlxY0f1Q7QyR2F5uWzrg5R91uWd3u6D6bDuiM_hCeHjXx41&hc_ref=ARS1UltyS74kEnN-c9K6PIm_-bxr3EBRzfOuknKcbz5B-CpZdm8AInU9GFQ_YaCOf3A&__xts__[0]=68.ARDWFFfkZasnhykTsqubS7KCZuTQ6N3Ieyipsr5unzwpKZjdIzHPuZLocuJc2JFge2AHzDdLcug6gXvhYR0OQ_4niarqX7d90gDOVRzkP-nh8lLPSZkKyeCrxxv8z3P0c23rK0Z_itOKXXROBD6cu96spVTbO5zf6IHH-XFu5d-HRi42GMILx7ot1aMydI8frEaiPqSQXDADq_CFv4crCVazWo-idTs9Xoa1gBKyxbpI8R8IembRT2U0M5gZ4yq0wDBkpCgIeLeHLaAxyO00AJ1sdHRPougn, Instagram|https://www.instagram.com/b2_marine/?hl=fr",ok,6.0
892273319,BY PAINT SERVICE,SAINT VINCENT DE PAUL,33,https://paintslab.com/,False,,1151.0,False,True,/blogs/news,False,,,False,Instagram|https://www.instagram.com/paints_lab/,ok,6.0
502300213,C3 TECHNOLOGIES,PERIGNY,17,http://www.c3technologies.fr/,False,,2342.0,False,True,http://www.c3technologies.fr/actualites/,False,,,False,"Facebook|https://www.facebook.com/c3technologiesSARL/#, LinkedIn|https://www.linkedin.com/company/c3-technologies-sarl, Twitter|https://twitter.com/C3Technologies_",ok,6.0
511791410,CHANTIER NAVAL COUACH - CNC,GUJAN-MESTRAS,33,https://couach.com/,False,,1993.0,False,True,https://couach.com/fr/actualites-professionnel/,False,,,False,"Facebook|https://fr-fr.facebook.com/CouachYachtsOfficiel/, Instagram|https://www.instagram.com/couachyachtsofficial/",ok,6.0
903686079,CHANTIER NAVAL DES MINIMES,LA ROCHELLE,17,https://chantier-naval-minimes.com/,False,,263.0,False,True,https://chantier-naval-minimes.com/actualites-du-chantier/,False,,,False,"X|https://www.nautix.com/, Facebook|https://www.facebook.com/cnminimes17/, Instagram|https://www.instagram.com/cnminimes/?hl=fr",ok,6.0
432678894,DUBOURDIEU 1800,GUJAN-MESTRAS,33,https://www.dubourdieu.fr/,False,,673.0,False,True,https://www.dubourdieu.fr/press/,False,,,False,"Instagram|https://www.instagram.com/dubourdieu_boats_official/, Twitter|https://twitter.com/bm_dubourdieu, Facebook|https://www.facebook.com/dubourdieu1800/",ok,6.0
404875452,EXEL YACHTING,LA ROCHELLE,17,https://www.exel-industries.com/,False,,1060.0,False,True,/publications-financieres/,False,,2026.0,False,LinkedIn|https://www.linkedin.com/company/exel-industries/,ok,6.0
307309898,FOUNTAINE PAJOT,AIGREFEUILLE D'AUNIS,17,https://www.fountaine-pajot.com/,False,,513.0,False,True,https://www.fountaine-pajot.com/newsroom/,False,,,False,,ok,6.0
