siren,denominationUniteLegale,codePostalEtablissement,libelleCommuneEtablissement,activitePrincipaleUniteLegale,site_web_final,statut_final,source,confiance_final
803646892,ROMUALD VIRLOUVET (VIRLOUVET YACHTING),16330,VARS,3012Z,,NON TROUVÉ,,
919918045,WILLIAM FAURE-LHOMME,16100,CHATEAUBERNARD,3012Z,https://help.williamhill.it/,TROUVÉ,v1,
803832898,HERONFLOW (HERONFLOW),16100,COGNAC,3012Z,,NON TROUVÉ,,
404875452,EXEL YACHTING,17000,LA ROCHELLE,3012Z,http://www.exel-yachting.com/,TROUVÉ,v1,
307309898,FOUNTAINE PAJOT (FOUNTAINE PAJOT MOTOR YACHTS),17290,AIGREFEUILLE D'AUNIS,3012Z,https://www.fountaine-pajot.com,TROUVÉ,v1,
379124779,NAUTITECH CATAMARANS (CIM),17300,ROCHEFORT,3012Z,https://www.nautitechcatamarans.com/,TROUVÉ,v2,3.0
514815844,NEEL TRIMARANS,17000,LA ROCHELLE,3012Z,https://www.neel-trimarans.com,TROUVÉ,v1,
389002593,ATLANTIQUE SELLERIE CHRISTIAN COSTES,17340,CHATELAILLON-PLAGE,3012Z,http://atlantiquesellerie.com/,TROUVÉ,v2,4.5
502300213,C3 TECHNOLOGIES,17180,PERIGNY,3012Z,https://www.c3technologies.fr,TROUVÉ,v1,
449811769,CHANTIER CATANA,66140,CANET-EN-ROUSSILLON,3012Z,https://www.catana.com,TROUVÉ,v1,
523371391,AP YACHT CONCEPTION,17230,MARANS,3012Z,https://ap-yachting.fr/,TROUVÉ,v2,2.5
844907188,WRIGHTON SAS (WRIGHTON),17000,LA ROCHELLE,3012Z,https://www.wrighton.com,TROUVÉ,v1,
950596429,DUFOUR YACHTS,17180,PERIGNY,3012Z,https://www.dufour-yachts.com,TROUVÉ,v1,
379018062,SAVIBOAT,17350,SAINT-SAVINIEN,3012Z,https://www.saviboat.fr,TROUVÉ,v1,
381560374,LATITUDE 46 SARL,17940,RIVEDOUX-PLAGE,3012Z,https://www.latitude46.com,TROUVÉ,v1,
509811717,JMS-ONLINE,,,3012Z,https://www.online.fr,TROUVÉ,v1,
815131842,PINBALL BOAT,17480,LE CHATEAU D'OLERON,3012Z,https://www.pinball-boat.com,TROUVÉ,v1,
326379633,OCQUETEAU SA,17480,LE CHATEAU D'OLERON,3012Z,https://www.ocqueteau.com,TROUVÉ,v1,
412780702,SECTEUR BLANC (LA ROCHELLE GREEMENT),17000,LA ROCHELLE,3012Z,https://larochelle-greement.fr/,TROUVÉ,v2,5.0
441013638,GUYMARINE (GUYMARINE),17480,LE CHATEAU-D'OLERON,3012Z,,NON TROUVÉ,,
307781260,ANDRE PLESSIS (TRADITION MARINES),97600,KOUNGOU,3012Z,,NON TROUVÉ,,
478956048,DONATIEN CARME,17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
520652553,REMI HENRIOT,17230,MARANS,3012Z,https://www.henriot.fr,TROUVÉ,v1,
503983637,PREPA NAUTIC,17000,LA ROCHELLE,3012Z,https://www.prepa-nautic.com,TROUVÉ,v1,
504259540,SAMUEL MICHEAU,17550,DOLUS-D'OLERON,3012Z,,NON TROUVÉ,,
507978369,SURVITEC SAS,17210,CHEVANCEAUX,3012Z,http://surviteczodiac.com/,TROUVÉ,gmaps,0.8
671780179,STE FERNAND HERVE SARL,17180,PERIGNY,3012Z,,NON TROUVÉ,,
788824266,SOUBISE YACHTS (SARL SOUBISE YACHTS),17780,SOUBISE,3012Z,,NON TROUVÉ,,
792007387,LOUIS BOYER (BOYER LOUIS),17000,LA ROCHELLE,3012Z,https://louisboyer.com,TROUVÉ,v1,
797689510,FINELOC NAUTISME,17480,LE CHATEAU-D'OLERON,3012Z,,NON TROUVÉ,,
530227370,ADRIEN L'HOMMEDE,17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
813808565,URSAE MINORIS,17940,RIVEDOUX-PLAGE,3012Z,https://www.ursaeminoris.fr,TROUVÉ,v1,
814870127,SAS AYROLES,17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
825205669,CB LOISIR,17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
418425047,ATELIER DU TECK,17700,SURGERES,3012Z,https://www.atelier-du-teck.fr,TROUVÉ,v1,
487820730,BABEL,17690,ANGOULINS,3012Z,https://www.babel.com,TROUVÉ,v1,
520729294,LAURENT SIVADIER,17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
444525232,FORA MARINE,17180,PERIGNY,3012Z,,NON TROUVÉ,,
448454694,MARINE SELLERIE (MS),17440,AYTRE,3012Z,https://www.marinesellerie.com,TROUVÉ,v1,
822671376,CARENES,17590,ARS-EN-RE,3012Z,,NON TROUVÉ,,
830434809,RM YACHTS,17180,PERIGNY,3012Z,https://www.rm-yachts.com,TROUVÉ,v1,
883161127,ECOSY BOATING (IZIBOAT),17000,LA ROCHELLE,3012Z,https://www.iziboat.com/,TROUVÉ,v2,3.0
903686079,CHANTIER NAVAL DES MINIMES (CHANTIER NAVAL DES MINIMES),17000,LA ROCHELLE,3012Z,https://www.chantier-naval-minimes.com/,TROUVÉ,gmaps,0.8
899979793,ATLANTIC BOAT YARD,17000,LA ROCHELLE,3012Z,https://www.atlantic-boat-yard.com,TROUVÉ,v1,
499632941,NOUVELLE VAGUE,13001,MARSEILLE,3012Z,https://www.nouvellevague.fr,TROUVÉ,v1,
534122742,MATTHIEU ROY,17690,ANGOULINS,3012Z,https://www.matthieu-roy.com,TROUVÉ,v1,
539990820,VA A MAX,17640,VAUX-SUR-MER,3012Z,https://www.va-max.com,TROUVÉ,v1,
501786172,EMILIEN FAURENS (FAURSAIL OU FAURENS EMILIEN),17570,LES MATHES,3012Z,https://www.faursail.com/,TROUVÉ,v2,4.5
794989368,AFEP MARINE EVOLUTION,17000,LA ROCHELLE,3012Z,https://www.afep-marine.com,TROUVÉ,v1,
814721205,CHANTIER OFCET,17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
848063475,MERS ET PIROGUES,17000,LA ROCHELLE,3012Z,https://mersetbateaux.com/,TROUVÉ,v2,3.0
934536921,NAUTIKO (YACHTING THOMMERET),17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
327308771,MAINS DE MARINS,17480,LE CHATEAU-D'OLERON,3012Z,https://www.terredemarins.fr/,TROUVÉ,v1,
404350969,ROCHELAISE DE MATS (RDM),50550,SAINT-VAAST-LA-HOUGUE,3012Z,https://www.mats.com,TROUVÉ,v1,
431546142,ALP COMPOSITES SARL,17230,MARANS,3012Z,,NON TROUVÉ,,
482653359,CONSTRUCT NAVALES PHILIPPE TOURNIER,33620,CEZAC,3012Z,https://www.construct.net/,TROUVÉ,v1,
454045493,ALEXANDRE GENOUD,17450,FOURAS,3012Z,,NON TROUVÉ,,
485375240,CHANTIER NAVAL PIXIS,17230,ANDILLY,3012Z,,NON TROUVÉ,,
498325240,FUSION FRANCE,17220,SAINT-MEDARD-D'AUNIS,3012Z,https://www.fusion-france.com,TROUVÉ,v1,
528954928,BAHAMA YACHTING COMPANY (BAHAMA YACHTING COMPANY) (BYC),17590,ARS-EN-RE,3012Z,,NON TROUVÉ,,
477588099,CHANTIER NAVAL DU GUE (CNG),17430,TONNAY-CHARENTE,3012Z,,NON TROUVÉ,,
522679091,ROVER YACHTS (R-Y),17220,CROIX-CHAPEAU,3012Z,https://www.roveryachts.com,TROUVÉ,v1,
490033917,DISCOV'RIB (SARL DISCOV'RIB),17000,LA ROCHELLE,3012Z,https://discovrib.com/,TROUVÉ,v2,4.5
378901383,ATELIER PLOQUIN,17230,MARANS,3012Z,,NON TROUVÉ,,
493192470,ALP MARINE,17230,MARANS,3012Z,https://www.marine.fr,TROUVÉ,v1,
499136844,RAFALE (RAFALE),17000,LA ROCHELLE,3012Z,,NON TROUVÉ,,
489590851,TAG YACHTING,17590,ARS-EN-RE,3012Z,https://www.tagyachting.com,TROUVÉ,v1,
908899982,MPG (WATT & BOAT),19380,SAINT-CHAMANT,3012Z,https://wattandboat.fr/,TROUVÉ,v2,2.5
897800124,LYV BOAT (LYV BOAT),19110,BORT-LES-ORGUES,3012Z,,NON TROUVÉ,,
334307386,STEPHANE ROQUEGEOFFRE,24220,SAINT-VINCENT-DE-COSSE,3012Z,,NON TROUVÉ,,
502830243,BLUE CRABBER SARL,24100,BERGERAC,3012Z,https://www.crabber.com,TROUVÉ,v1,
910415645,ECO-CONSTRUCTIONS DE NOUVELLE AQUITAINE,33260,LA TESTE-DE-BUCH,3012Z,,NON TROUVÉ,,
821282688,LACA BOAT (JLN),33680,LACANAU,3012Z,,NON TROUVÉ,,
414509489,WINDRIDER EUROPE,33950,LEGE-CAP-FERRET,3012Z,,NON TROUVÉ,,
447945692,RICHARD PEHOOU-MAYS,33470,GUJAN MESTRAS,3012Z,,NON TROUVÉ,,
437509854,THIERRY LA GOUTE,33260,LA TESTE-DE-BUCH,3012Z,,NON TROUVÉ,,
432678894,DUBOURDIEU 1800,33470,GUJAN-MESTRAS,3012Z,https://www.dubourdieu1800.com,TROUVÉ,v1,
518336623,SEALVER,40460,SANGUINET,3012Z,https://www.sealver.com,TROUVÉ,v1,
481076891,MICHEL BAPTISTA,33700,MERIGNAC,3012Z,,NON TROUVÉ,,
490350329,ALEXANDRE BADRI (C.N. BADRI),33510,ANDERNOS-LES-BAINS,3012Z,,NON TROUVÉ,,
340330265,NAUTI BOY,33950,LEGE-CAP-FERRET,3012Z,https://www.nautiboy.com,TROUVÉ,v1,
753501626,SARL DESIGN YACHT PROJECT (ROSEWEST),33000,BORDEAUX,3012Z,https://www.rosewest.fr/,TROUVÉ,v2,3.5
529926461,BO YACHTING,33120,ARCACHON,3012Z,https://www.boyachting.fr,TROUVÉ,v1,
812206340,Z NAUTIC,33470,GUJAN-MESTRAS,3012Z,https://www.nautic.com,TROUVÉ,v1,
