siren,denominationUniteLegale,activitePrincipaleUniteLegale,codePostalEtablissement,libelleCommuneEtablissement,site_web_v1,http_status,antibot,down_erreur,secteur_ok,snippet
919918045,WILLIAM FAURE-LHOMME,3012Z,16100,CHATEAUBERNARD,https://help.williamhill.it/,403_ANTIBOT,True,False,False,(anti-bot)
404875452,EXEL YACHTING,3012Z,17000,LA ROCHELLE,http://www.exel-yachting.com/,200,False,False,True,"www.exel-yachting.com | Original location:
        https://www.cnl46.com"
307309898,FOUNTAINE PAJOT (FOUNTAINE PAJOT MOTOR YACHTS),3012Z,17290,AIGREFEUILLE D'AUNIS,https://www.fountaine-pajot.com,200,False,False,True,"Fountaine Pajot | Catamarans à voile de luxe et Motors Yachts | Naviguer vers la neutralité carbone | Fountaine Pajot
			

		 
        
	fr
	en
	es



					document.getElementById( ""lang_choice_2"" ).addEventListener( ""change"", function ( event ) { location.href = event.currentTarget.value; } )
				

	"
514815844,NEEL TRIMARANS,3012Z,17000,LA ROCHELLE,https://www.neel-trimarans.com,200,False,False,True,"NEEL-TRIMARANS | NEEL-TRIMARANS | NEEL-TRIMARANS | 4 rue Virginie Hériot &#8211; Plateau nautique 17000 La Rochelle Cedex &#8211; France
Tel. : +33 546 290 871
Private area"
502300213,C3 TECHNOLOGIES,3012Z,17180,PERIGNY,https://www.c3technologies.fr,200,False,False,True,"C3 Technologies - Entreprise matériaux et pièces composites | C³ Technologies, la performance composite | +33(0)5 46 30 54 58
										contact@c3technologies.fr"
449811769,CHANTIER CATANA,3012Z,66140,CANET-EN-ROUSSILLON,https://www.catana.com,200,False,False,True,"Découvrez l&#039;univers CATANA Catamarans | Menu
        Fermer
    

                    
            Nous contacter
        
    


    

        

            
                                    
                                            "
844907188,WRIGHTON SAS (WRIGHTON),3012Z,17000,LA ROCHELLE,https://www.wrighton.com,200,False,False,False,Site is undergoing maintenance | wrighton.com | Please check back again later when he's finished playing.
950596429,DUFOUR YACHTS,3012Z,17180,PERIGNY,https://www.dufour-yachts.com,403_ANTIBOT,True,False,False,(anti-bot)
379018062,SAVIBOAT,3012Z,17350,SAINT-SAVINIEN,https://www.saviboat.fr,200,False,False,True,"Saviboat fabricant de bateaux électriques port miniature loisirs tourisme | Saviboat | Fabricant de bateaux électriques depuis 1990 Saviboat, des solutions pour les centres de plaisance"
381560374,LATITUDE 46 SARL,3012Z,17940,RIVEDOUX-PLAGE,https://www.latitude46.com,200,False,False,False,"Bred
Differently. Two farms.
One purpose. - Latitude46 | Bred
differently. | Two farms.
One purpose.

                        Roy Farms and Green Acre Farms are proud to announce their rebranding collaboration to introduce Latitude 46® – A Pacific Northwest Hop Breeding Co., f"
509811717,JMS-ONLINE,3012Z,,,https://www.online.fr,200,False,False,True,"Serveurs dédiés : dès 4,99€ HT/mois | Scaleway | Scaleway Dedibox : serveurs dédiés | OuvrirBullhornOutlineIconFocus du jour ! Réserver un domaine devient plus simple. Essayez maintenant !BlogDocsContactEnglishenFrançaisfrLog inProfileIconSign upWestIconServeurs dédiés ArrowRightIconDe"
815131842,PINBALL BOAT,3012Z,17480,LE CHATEAU D'OLERON,https://www.pinball-boat.com,200,False,False,True,"Pinball Boat | Pinball Boat vous propose un bateau de plaisance à la fois agile, convivial et innovant avec sa propulsion E-hybrid. Construit autour de valeurs fondamentales comme le respect de l&#x27;environnement,"
326379633,OCQUETEAU SA,3012Z,17480,LE CHATEAU D'OLERON,https://www.ocqueteau.com,200,False,False,True,"Bateaux à moteur OCQUETEAU - plaisance,  pêche, sports nautiques et promenade, hors-bord et inboard | Le&nbsp;chantier Ocqueteau&nbsp;est un acteur reconnu du&nbsp;bateau &agrave; moteur&nbsp;et r&eacute;put&eacute; pour l | Plan du site - Site r&eacute;alis&eacute; par&nbsp;&nbsp;D&eacute;veloppement web, La Rochelle&nbsp;"
